name,lat,lon
451115,42.20301541,-120.3723111
452059,42.2235852,-119.8871621
452868,42.24112792,-121.7641543
455386,42.29561258,-111.7152363
455593,42.30011886,-119.7710099
457505,42.34042926,-118.6041176
464969,42.50202945,-119.6634711
466724,42.54058907,-118.5173405
468126,42.57139866,-114.2917382
472715,42.67098791,-118.3529365
473210,42.6810553,-114.8289134
475454,42.73059947,-120.636401
480099,42.83121866,-111.0010396
482715,42.88830416,-111.7100345
484585,42.92898244,-115.9336289
484718,42.93155649,-115.491495
489677,43.03939375,-115.4677015
489744,43.04027612,-114.9509979
493005,43.11176267,-115.2957941
496539,43.18918405,-119.0460512
500978,43.28672157,-122.3686392
501248,43.29168053,-114.9014081
502797,43.32621554,-114.4070848
504762,43.36929138,-110.4479784
505342,43.38150827,-114.9260062
507357,43.42675868,-119.9282695
507804,43.43558343,-118.6401934
509129,43.46588363,-118.1957704
510841,43.50366119,-118.7680274
513469,43.5609714,-114.7769839
517133,43.64282268,-111.6965077
520015,43.70587376,-122.2918014
520138,43.70915742,-121.2450644
522303,43.75749155,-115.5724151
528313,43.89151728,-111.5839723
528477,43.89550146,-117.4936869
530883,43.94918413,-116.3476863
532740,43.99054316,-117.2226206
532982,43.99547452,-119.6467636
534143,44.02225633,-117.4486181
536634,44.07788095,-116.0503291
537802,44.10353883,-111.4475457
538326,44.11578622,-110.6956334
540044,44.15385473,-115.3005938
540651,44.16816801,-122.0932139
540834,44.17162899,-114.62463
541592,44.18892702,-122.0452637
544851,44.26183333,-114.7494726
546518,44.29906801,-117.0576491
546695,44.30366662,-116.7566448
549493,44.36704723,-115.8541391
551824,44.41966414,-116.0308013
553738,44.46212711,-110.8233917
558293,44.56593883,-115.6804393
561056,44.62859117,-110.4337643
563644,44.68760292,-116.2370811
568067,44.78762388,-121.9848743
571422,44.86459021,-121.2065415
576290,44.97594224,-116.191983
577778,45.00985441,-113.6048316
578286,45.02083306,-122.0105993
578511,45.02647899,-117.6143373
591358,45.32172354,-114.311849
592180,45.34035724,-114.4391608
593538,45.3722056,-111.7590773
593908,45.37980417,-121.71783
595091,45.40818819,-116.174618
601974,45.56819758,-111.672148
607235,45.69083039,-112.281475
611580,45.79175225,-115.2057039
622312,46.04350978,-112.807916
628601,46.19188155,-112.1044546
639161,46.44188939,-111.9889339
645371,46.58914374,-112.1119377
651890,46.74431081,-121.5524661
652436,46.75709461,-112.3650913
711840,48.16512823,-121.0373229
