lat,lon,name,province,field_id
38.15654545,-119.0993252,254930,Other,82
38.2170884,-118.3461149,257836,Other,83
38.23778597,-119.3335202,258812,Other,84
38.2429204,-119.1961593,259051,Other,85
38.25139889,-116.8341736,259490,Basin_and_Range,86
38.28060158,-107.1010911,260868,Rocky_Mountain,87
38.29783533,-118.0286327,261688,Other,88
38.31492902,-117.2948392,262511,Basin_and_Range,89
38.3185293,-118.5576241,262696,Other,90
38.32484323,-119.407836,263008,Other,91
38.34628275,-118.8117462,264029,Other,92
38.42653026,-115.5287503,267904,Basin_and_Range,93
38.48073221,-118.5428719,270524,Other,94
38.49420556,-106.0833501,271159,Rocky_Mountain,95
38.5077467,-106.4977169,271816,Rocky_Mountain,96
38.5271741,-116.3810708,272755,Basin_and_Range,97
38.53094413,-118.6605896,272939,Other,98
38.57372325,-122.5627228,275063,Other,99
38.60880907,-112.1887755,276778,Rocky_Mountain,100
38.61421858,-112.4190862,277016,Rocky_Mountain,101
38.64240672,-112.0951657,278403,Rocky_Mountain,102
38.6871584,-123.0150036,280584,Other,103
38.70166759,-119.8706569,281302,Other,104
38.73536265,-106.1683352,282960,Rocky_Mountain,105
38.76476359,-119.1814207,284376,Other,106
38.82021759,-117.1728157,287111,Basin_and_Range,107
38.84905688,-112.4797495,288532,Rocky_Mountain,108
38.92213823,-118.1948362,292140,Other,109
38.92382978,-122.7171161,292224,Other,110
39.01787634,-122.6578273,296874,Other,111
39.03299039,-122.4268588,297614,Other,112
39.03643913,-117.1332188,297794,Basin_and_Range,113
39.07611688,-122.5944423,299775,Other,114
39.21181202,-118.7199351,306443,Other,115
39.22631657,-107.2260725,307171,Rocky_Mountain,116
39.31556883,-117.5376888,311595,Basin_and_Range,117
39.32836727,-116.8628067,312255,Basin_and_Range,118
39.37543043,-118.6588198,314550,Other,119
39.41126246,-119.6640996,316324,Other,120
39.42375332,-118.241438,316948,Other,121
39.49517454,-119.8100136,320483,Other,122
39.50181062,-119.6468722,320807,Other,123
39.51599625,-118.1523492,321510,Other,124
39.57810513,-119.5350538,324614,Other,125
39.60841174,-112.7324978,326074,Rocky_Mountain,126
39.70678642,-120.3172552,330958,Other,127
39.75593915,-114.8127888,333402,Basin_and_Range,128
39.8054539,-118.0718475,335816,Other,129
39.83682254,-117.5100885,337374,Basin_and_Range,130
39.84577742,-114.9063708,337857,Basin_and_Range,131
39.88811234,-116.6432907,339933,Basin_and_Range,132
39.89511046,-119.2270596,340260,Other,133
39.89809367,-117.136613,340424,Basin_and_Range,134
39.91885368,-119.063978,341485,Other,135
39.93530326,-114.7653222,342297,Basin_and_Range,136
39.9921328,-119.5154923,345118,Other,137
39.99298291,-118.9977978,345162,Other,138
39.99407305,-117.704012,345208,Basin_and_Range,139
40.05896381,-117.9890899,348422,Basin_and_Range,140
40.06864041,-118.8844522,348905,Other,141
40.08320706,-117.7310961,349647,Basin_and_Range,142
40.14695536,-119.6909033,352794,Other,143
40.21127168,-118.916201,356009,Other,144
40.22808069,-118.374178,356851,Other,145
40.30634216,-120.1749487,360729,Other,146
40.35694617,-120.2498288,363253,Other,147
40.36136213,-117.3166836,363467,Basin_and_Range,148
40.38403,-121.5077164,364632,Other,149
40.39991597,-120.4900661,365398,Other,150
40.40265048,-117.8859177,365571,Basin_and_Range,151
40.41000537,-120.6567682,365900,Other,152
40.410299,-116.5139995,365911,Basin_and_Range,153
40.4416101,-121.4420741,367491,Other,154
40.55253787,-106.8593058,372999,Rocky_Mountain,155
40.58115904,-115.2847412,374438,Basin_and_Range,156
40.60601489,-117.6335434,375659,Basin_and_Range,157
40.66234039,-119.370124,378451,Other,158
40.70161107,-116.1404207,380407,Basin_and_Range,159
40.7613079,-119.1147151,383421,Other,160
40.77051904,-117.4972341,383838,Basin_and_Range,161
40.77618461,-117.2119827,384119,Basin_and_Range,162
40.81215747,-115.7853755,385914,Basin_and_Range,163
40.83187712,-117.951913,386915,Basin_and_Range,164
40.86034999,-119.3591298,388310,Other,165
40.92184497,-117.097574,391394,Basin_and_Range,166
40.9446204,-119.0066024,392528,Other,167
40.96781183,-117.5045548,393657,Basin_and_Range,168
41.01448273,-119.5602786,395978,Other,169
41.02585335,-121.9289749,396473,Cascades,170
41.05136248,-119.0368692,397699,Other,171
41.08089173,-118.6799904,399051,Other,172
41.12467204,-118.9934232,401114,Other,173
41.14022943,-112.1784606,401852,Rocky_Mountain,174
41.14312754,-121.1020157,401969,Cascades,175
41.15566864,-114.9762877,402587,Basin_and_Range,176
41.19121136,-115.2873302,404223,Basin_and_Range,177
41.1955722,-120.3874428,404417,Cascades,178
41.24192872,-111.9345957,406556,Rocky_Mountain,179
41.34681109,-118.7906328,411422,Other,180
41.40665525,-122.1852226,414227,Cascades,181
41.46185053,-120.8422272,416792,Cascades,182
41.49346476,-120.5559832,418215,Cascades,183
41.53269077,-120.0774071,420081,Cascades,184
41.56773504,-121.5751263,421674,Cascades,185
41.56932992,-118.5624495,421772,Other,186
41.60435333,-120.0828691,423398,Cascades,187
41.61516776,-116.3005378,423850,Basin_and_Range,188
41.6366725,-121.6302447,424848,Cascades,189
41.67085689,-120.2086458,426429,Cascades,190
41.71419727,-118.5219365,428482,Other,191
41.75839539,-118.8382493,430494,Other,192
41.78337061,-114.7105201,431683,Basin_and_Range,193
41.87104326,-120.1517223,435732,Cascades,194
41.87180869,-115.6286933,435768,Basin_and_Range,195
41.92430262,-118.7025705,438194,Other,196
41.9495729,-117.7595308,439393,Basin_and_Range,197
42.03442221,-115.3636825,443326,Snake_River_Plain,198
42.04425999,-121.7440195,443760,Cascades,199
42.07514343,-117.7647646,445208,Other,200
42.12134633,-111.9181201,447326,Snake_River_Plain,201
42.17328134,-111.8428067,449727,Snake_River_Plain,202
42.17425811,-113.9802973,449771,Snake_River_Plain,203
42.18530972,-118.3769086,450301,Other,204
42.20301541,-120.3723111,451115,Cascades,205
42.2235852,-119.8871621,452059,Other,206
42.24112792,-121.7641543,452868,Cascades,207
42.29561258,-111.7152363,455386,Snake_River_Plain,208
42.30011886,-119.7710099,455593,Other,209
42.34042926,-118.6041176,457505,Other,210
42.50202945,-119.6634711,464969,Other,211
42.54058907,-118.5173405,466724,Other,212
42.57139866,-114.2917382,468126,Snake_River_Plain,213
42.67098791,-118.3529365,472715,Other,214
42.6810553,-114.8289134,473210,Snake_River_Plain,215
42.73059947,-120.636401,475454,Cascades,216
42.83121866,-111.0010396,480099,Snake_River_Plain,217
42.88830416,-111.7100345,482715,Snake_River_Plain,218
42.92898244,-115.9336289,484585,Snake_River_Plain,219
42.93155649,-115.491495,484718,Snake_River_Plain,220
43.03939375,-115.4677015,489677,Snake_River_Plain,221
43.04027612,-114.9509979,489744,Snake_River_Plain,222
43.11176267,-115.2957941,493005,Snake_River_Plain,223
43.18918405,-119.0460512,496539,Other,224
43.28672157,-122.3686392,500978,Cascades,225
43.29168053,-114.9014081,501248,Snake_River_Plain,226
43.32621554,-114.4070848,502797,Snake_River_Plain,227
43.36929138,-110.4479784,504762,Snake_River_Plain,228
43.38150827,-114.9260062,505342,Snake_River_Plain,229
43.42675868,-119.9282695,507357,Other,230
43.43558343,-118.6401934,507804,Other,231
43.46588363,-118.1957704,509129,Other,232
43.50366119,-118.7680274,510841,Other,233
43.5609714,-114.7769839,513469,Snake_River_Plain,234
43.64282268,-111.6965077,517133,Snake_River_Plain,235
43.70587376,-122.2918014,520015,Cascades,236
43.70915742,-121.2450644,520138,Cascades,237
43.75749155,-115.5724151,522303,Snake_River_Plain,238
43.89151728,-111.5839723,528313,Snake_River_Plain,239
43.89550146,-117.4936869,528477,Other,240
43.94918413,-116.3476863,530883,Other,241
43.99054316,-117.2226206,532740,Other,242
43.99547452,-119.6467636,532982,Other,243
44.07788095,-116.0503291,536634,Other,244
44.10353883,-111.4475457,537802,Snake_River_Plain,245
