lat,lon,spring_T
48.76,-105.0007,
31.1950851,-103.28416,
31.4109366,-103.8544004,
31.7964597,-103.0843291,
31.8999219,-103.1073656,
45.619,-122.844,11.28
39.8918924,-119.2589959,45.6
31.9028625,-103.9941127,
33.0000803,-113.2507545,
31.2238957,-103.0621473,
31.7870021,-103.0670606,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
34.200009,-119.1409211,
41.2249625,-107.1373234,7.6
37.9561667,-113.7400162,26.0
45.5145103,-122.2661797,15.91
45.5145103,-122.2661797,15.91
46.576601,-122.8337194,10.52
31.7249751,-103.0252682,
45.9609,-114.7213,
38.4103645,-112.928698,
38.4103645,-112.928698,
38.4103645,-112.928698,
38.4103645,-112.928698,
38.4103645,-112.928698,
38.4103645,-112.928698,
38.4103645,-112.928698,
38.4103645,-112.928698,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
37.106,-104.3515,
31.6226176,-103.3164846,
31.4841123,-103.9725227,
31.7601903,-103.0750196,
32.3434336,-112.9140733,
31.4986429,-103.4180158,
31.9207521,-103.6260647,
31.9613915,-104.0674357,
31.9350323,-103.0313511,
31.9719366,-103.9651433,
31.4995673,-104.0964434,
31.6260819,-103.006873,
31.9059304,-103.8098138,
45.8699,-109.9008,
45.8699,-109.9008,
45.8699,-109.9008,
31.626086,-103.0343843,
39.9463972,-118.5949782,29.6
31.9419924,-103.0335185,
36.317,-109.5757,
39.2399093,-118.439964,22.69
31.8727242,-103.1373784,
31.8171491,-103.0373018,
31.5001362,-110.7506754,
40.8132384,-116.202589,16.8
31.696632,-103.0556189,
31.4303473,-103.3889101,
31.518187,-103.6635144,
31.9284407,-103.149214,
33.1485017,-108.7063312,
33.1485017,-108.7063312,
33.1485017,-108.7063312,
33.1485017,-108.7063312,
41.4055245,-112.7344277,
32.9517691,-115.2541074,
31.563955,-103.4236197,
31.6625728,-103.0056264,
31.4207505,-103.4194511,
31.5930884,-103.0508799,
44.5666141,-110.8341104,196.0
31.3372739,-103.3016594,
45.7176613,-116.9008214,7.49
31.6729991,-103.0024843,
31.7192227,-103.8678042,
31.5660177,-103.0449965,
31.9814979,-103.7443952,
46.1268093,-122.1536893,
31.8824107,-103.4894665,
42.7043946,-115.008714,20.8
31.9437606,-103.1974692,
43.6036723,-116.8446832,18.67
31.9226245,-103.0462761,
48.8899,-108.3408,
31.7079438,-103.900973,
31.8938923,-103.994085,
31.9768198,-103.0827854,
31.5699231,-103.1322452,
31.7583341,-103.2963688,
31.7929229,-103.6282761,
44.1295182,-122.2424511,
43.9976581,-118.1595293,
31.8373799,-103.1130993,
38.6332664,-112.1040765,48.57
45.8700218,-121.0026497,12.36
31.8827348,-103.0037314,
33.2454058,-107.3600942,
42.2216199,-112.2430232,11.0
39.5877,-103.3608,
38.5806638,-112.6087906,
38.4651263,-117.94314,16.88
31.6793611,-103.3515556,
31.8395195,-103.091572,
37.2233,-104.8781,
37.2233,-104.8781,
37.2233,-104.8781,
37.2233,-104.8781,
31.648597,-103.222887,
36.5,-107.6706,
39.9465544,-123.3528075,
32.8750924,-111.7507129,
45.2384,-115.7723,
39.3629,-104.4571,
43.9182094,-111.9428368,11.58
31.7056102,-103.5957379,
45.8604,-115.14,
31.577542,-103.0516666,
31.6286028,-103.0601287,
39.5199462,-113.0675146,29.9
31.7361414,-103.0505445,
34.3400246,-116.4975536,
32.1583469,-103.0470973,
31.9185761,-103.1366852,
40.569105,-116.6069306,39.22
43.21,-105.0506,
31.4837947,-103.1643019,
32.3751213,-108.8756304,
31.5696257,-103.3808168,
41.2036,-103.8322,
31.6621601,-103.1645531,
31.6573409,-103.0458733,
31.9775089,-103.74879,
47.1423466,-118.2477912,14.35
31.4963977,-103.2378232,
31.5986641,-103.1151029,
39.0098762,-122.6637747,
35.9332778,-117.7759047,
31.8493695,-103.160009,
31.8901485,-103.1046856,
40.9499203,-114.0208603,
31.7707937,-103.0990299,
42.0048416,-121.8228004,
31.9203439,-103.1148215,
40.1028027,-117.6640543,
39.7849087,-117.5009453,38.3
31.457595,-103.7685482,
32.1516144,-103.0465688,
33.1962606,-115.5437173,
31.7012985,-103.6358485,
36.0099753,-117.8876085,
36.0099753,-117.8876085,
36.0099753,-117.8876085,
36.0099753,-117.8876085,
31.9132887,-104.377465,
31.9253208,-103.0197503,
38.3273629,-113.3645096,
31.8169727,-103.1567971,
43.3796347,-121.1556059,9.17
40.4071227,-120.6460418,69.0
40.4071227,-120.6460418,69.0
38.7345812,-122.6462701,21.79
45.5593,-122.4829,12.35
31.7928469,-103.0917835,
47.0799,-108.6508,
31.6174255,-103.0105183,
39.0008764,-122.6608745,
