grecord_,name,kgra,wellspring,api,waringno,country,state,county,latitude,longitude,t,r,sec,qsections,bmeridian,mreference,geoprovinc,localityin,sourcetype,pcollect,samplenum,cdate,collector,blank,deposits,treatment,lithology,sampleinfo,sampleinfa,adate,analyst,units,ameas,temp,dtemp,flow,amtemp,depth,gradient,whpressure,pressure1,pressure2,pressure3,steamflow,tflowenth,ph,phtemp,gravity,conductanc,alkalinity,tds,tss,ag,al,as,au,b,ba,be,bi,br,ca,camg,cd,cl,co,co3,cr,cs,cu,f,fe3,fetotal,ga,ge,hco3,hg,h2s,i,k,li,mg,mn,mo,na,nak,nb,nh4,ni,no3,pb,po4,rb,s,sb,sc,se,sio2,sn,so4,sr,ta,ti,u,v,w,zn,dwater,owater18,oso418,sh2s34,sh2s34rev,c13co2,tritium,c14ofc02,otheradata,qualifinfo,reference,rorganizat
251,GODDARD HOT SPRINGS,,,,70,UNITED STATES,,SITKA BORROUGH,56-49.95 N,135-22.25 W,58S,063E,20,NE OF NE OF NW,,PORT ALEXANDER D-5 1:63360,,BARANOF ISLAND; 1.1 MILES W-SW OF MT KLIUCHEF; 0.4 MILE SE OF GODDARD.,SPRING,,85,,,L/MIN,,,,,,,,PPM,,67.0,,49.0,,,,,,,,,,7.4,,,,,,,,0.018,,,1.1,,,,,380.0,,,2780.0,,,,,,1.4,,,,,78.7,,,,61.0,1.6,1.9,,,1500.0,,,,,,,,,,,,,120.0,,110.0,,,,,,,,,,,,,,,,,,"MILLER, 1973",U.S. GEOLOGICAL SURVEY
21499,SITKA HOT SPRINGS - MAGNESIA SPRING,,,,,UNITED STATES,,SITKA BORROUGH,56-50.   N,135-22.   W,58S,064E,,,,PORT ALEXANDER D-4 1:63360,,"KLIUCHEF PENINSULA; 16 MILES SOUTH OF SITKA; NEXT TO ""HOT SPRINGS BAY""; ELEVATION = 55 FT ABOVE HIGH",SPRING,,,1915/06/25,"WARING, G.A.",L/MIN,,,"GRANITE CUT BY NARROW DIKES OF DARKER ROCK, RESEMBLING DIABASE, THAT IS CLASSIFIED AS A SPESSARTITE",WATER TASTES SALTY AND HAS FAINT TASTE AND ODOR OF H2S.,,,"DINSMORE, S.C.",PPM,,61.1,,8.5,,,,,,,,,,,,,,,5046.0,,,2.1,,,,,,,,378.0,,,2740.0,,,,,,,,0.5,,,31.0,,,,57.0,,2.6,,,1365.0,,,,,,,,,,,,,122.0,,97.0,,,,,,,,,,,,,,,,TRACE OF B4O7.,,"WARING, 1917",U.S. GEOLOGICAL SURVEY
45072,ACOCI BIAL NO. 1,,,,,UNITED STATES,ALASKA,,59-44.73 N,153-13.85 W,05S,023W,17,N1/2 OF SE OF,,"ILIAMNA 1:250000, C-1 1:63360",,,WELL,,,1956/06/13,,,,,,CONSIDERABLE LOW PRESSURE GAS FROM 6000FT TO 9622FT PLUS OIL SHOWS.,,,,,,92.2,,,,2970.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALASKA DIVISION OF OIL AND GAS, UNPUBLISHED DATA",UNIVERSITY OF ALASKA
1454,ADAK ISLAND - UNNAMED HOT SPRING (1/2),,,,,UNITED STATES,ALASKA,,51-58.55 N,176-37.73 W,,,,,,ADAK 1:250000,,"2 KM NORTH OF ANDREW LAKE, ON EAST SIDE OF ANDREW BAY",SPRING,SPRING ISSUES FROM FRACTU,76AMM220,,,,,,,,,,,PPM,HCO3,63.0,,,,,,,,,,,,7.4,,,,420.0,,,,,,,87.0,,,,,1500.0,,,13500.0,,,,,,0.49,,,,,420.0,,,,460.0,,70.0,,,6800.0,,,,,,,,,,,,,218.0,,120.0,,,,,,,,,,,,,,,,,,"*MILLER AND SMITH, 1977*",US GEOLOGICAL SURVEY
1453,ADAK ISLAND - UNNAMED HOT SPRING (2/2),,,,,UNITED STATES,ALASKA,,51-58.55 N,176-37.73 W,,,,,,ADAK 1:250000,,"2 KM NORTH OF ANDREW LAKE, ON EAST SIDE OF ANDREW BAY",SPRING,SPRING ISSUES THROUGH BEA,76AMM221,,,,,,,,,,,PPM,HCO3,71.0,,,,,,,,,,,,7.5,,,,430.0,,,,,,,70.0,,,,,1300.0,,,12000.0,,,,,,0.55,,,,,430.0,,,,380.0,,110.0,,,610.0,,,,,,,,,,,,,215.0,,330.0,,,,,,,,,,,,,,,,,,"*MILLER AND SMITH, 1977*",US GEOLOGICAL SURVEY
1915,AKUN STRAIT HOT SPRINGS,,,,,UNITED STATES,ALASKA,,54-08.4  N,165-38.4  W,70S,111W,,,,"UNIMAK 1:250,000",,,SPRING,,,8/10/80,,L/MIN,,,,,,,,MG/L,,42.8,,15.0,,,,,,,,,,7.47,,,9800.0,,,,,,,,5.7,,,,,475.0,,,3440.0,,,,,,0.67,,,,,82.0,,,,35.0,,46.0,,,1660.0,,,,,,,,,,,,,50.0,,222.0,,,,,,,,,,,,,,,,,,"MOTYKA AND MOORMAN, 1981",U.S. GEOLOGICAL SURVEY
1922,AKUTAN HOT SPRINGS   (SPRING A2),,,,,UNITED STATES,ALASKA,,54-09.   N,165-55.   W,69S,112W,,,,"UNIMAK 1:250,000",,,SPRING,,,8/07/80,,L/MIN,,,,,,,,MG/L,,84.0,,118.0,,,,,,,,,,6.98,,,1775.0,,,,,,,,11.0,,,,,11.0,,,424.0,,,,,,1.1,,,,,172.0,,,,25.0,,2.5,,,323.0,,,,,,,,,,,,,145.0,,43.0,,,,,,,,,,,,,,,,,,"MOTYKA AND MOORMAN, 1981",U.S. GEOLOGICAL SURVEY
1923,AKUTAN HOT SPRINGS  (SPRING D2),,,,,UNITED STATES,ALASKA,,54-09.   N,165-55.   W,69S,112W,,,,"UNIMAK 1:250,000",,,SPRING,,,8/08/80,,L/MIN,,,,,,,,MG/L,,58.8,,20.0,,,,,,,,,,6.82,,,700.0,,,,,,,,3.4,,,,,11.0,,,136.0,,,,,,0.88,,,,,128.0,,,,9.3,,12.0,,,128.0,,,,,,,,,,,,,91.0,,26.0,,,,,,,,,,,,,,,,,,"MOTYKA AND MOORMAN, 1981",U.S. GEOLOGICAL SURVEY
207,AKUTAN ISLAND - HOT SPRING B,,,,,UNITED STATES,ALASKA,,54-09.5  N,165-50.7  W,69S,110W,,,,UNIMAK 1:250000,,.5 MILE SOUTH OF HOT SPRINGS BAY; WEST SIDE OF VALLEY.,SPRING,,,1948/07/30,,,,,,,,,,PPM,,83.0,,,,,,,,,,,,7.0,,,,,952.0,,,,,,5.59,,,,,9.9,,,350.0,,,,,,0.7,,,,,192.0,,,,21.0,,1.4,,,288.0,,,,,,,,,,,,,128.0,,39.0,,,,,,,,,,,,,,,,,BORON CALCULATED FROM B2O3; HCO3 BY DIRECT TITRATION.,"BYERS AND BARTH, 1953",U.S. GEOLOGICAL SURVEY
45070,AMOCO CATHEDRAL RIVER UNIT NO. 1,,,,,UNITED STATES,ALASKA,,55-44.05 N,162-07.30 W,51S,083W,29,SW OF NE OF SE,,"COLD BAY 1:250000, C-1 1:63360",,,WELL,,,1974/06/28,,,,,,,,,,,,142.8,4356.0,,,4359.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALASKA DIVISION OF OIL AND GAS, UNPUBLISHED DATA",UNIVERSITY OF ALASKA
45077,"ANTONIO ZAPPA NO. 1, ALASKA CONSOLIDATED OIL CO  I",,,,,UNITED STATES,ALASKA,,59-44.1  N,153-14.7  W,05S,023W,18,SE OF NE OF NE,,"ILIAMNA 1:250000, C-1 1:63360",,INISKIN PENINSULA; FITZ CREEK; 2370 FT SOUTH AND 290 FT WEST OF NE CORNER OF SECTION 18.,WELL,,,1961/11/07,,,,,HIGHLY FRACTURED AND FAULTED SILTSTONES AND VOLCANIC SEDIMENTS.,STRONG FLOWING SALT WATER AT THE 9740 FT DEPTH. WELL PLUGGED AND ABANDONED.,,,,,,100.0,2591.0,,,3423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BLASKO, 1976",UNIVERSITY OF ALASKA
45048,ARCO DRIFT RIVER ST. OIL WELL,,,,,UNITED STATES,ALASKA,,60-33.25 N,152-07.92 W,05N,016W,05,SE OF SW OF NW,,"KENAI 1:250000, C-6 1:63360",,,WELL,,,1966/11/15,,,,,,OFFSHORE,,,,,,82.2,,,,1644.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALASKA DIVISION OF OIL AND GAS, UNPUBLISHED DATA",UNIVERSITY OF ALASKA
45063,ATLANTIC REF RAINBOW FED. NO. 1,,,,,UNITED STATES,ALASKA,,60-44.   N,150-14.   W,08N,005W,31,NW OF SW,,"KENAI 1:250000, C-1 1:63360",,LAT/LONG ARE APPROXIMATE.,WELL,,,1965/12/20,,,,,,"TD 914.4M NO WATER, OIL OR GAS FLOWS IN THIS WELL.",,,,,,28.3,,,,910.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALASKA DIVISION OF OIL AND GAS, UNPUBLISHED DATA",UNIVERSITY OF ALASKA
45062,ATLANTIC REF RAINBOW FED. NO.2,,,,,UNITED STATES,ALASKA,,60-49.2  N,150-04.5  W,08N,005W,01,NE OF NW,,"KENAI 1:250000, D-1 1:63360",,,WELL,,,1966/01/25,,,,,,"NO WATER, OIL, OR GAS FLOWS IN THIS WELL.",,,,,,26.7,,,,851.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALASKA DIVISION OF OIL AND GAS, UNPUBLISHED DATA",UNIVERSITY OF ALASKA
253,BAILEY BAY HOT SPRINGS,,,,76,UNITED STATES,ALASKA,,55-58.85 N,131-39.67 W,68S,089E,09,SE OF SW OF SW,,KETCHIKAN D-5 1:63360,,1.6 MILES WEST OF HEAD OF BAILEY BAY; 1.2 MILES NORTH OF MAUDE LAKE. BY A CREEK THAT EMPTIES INTO LA,SPRING,,91,1915/06/17,"WARING, G.A.",,SMALL AMOUNTS OF CARBONATE DEPOSITS.,,"GRANITIC ROCKS WITH SOME WHITE-MARBLE PHASES IN WHICH MICA IS SCARCE, AND WITH PEGMATITE VEINS WITH",SLIGHT TASTE AND ODOR OF H2S.,,,"DINSMORE, S.C.",PPM,,85.0,,,,,,,,,,,,,,,,,413.0,,,2.2,,,,,,,,13.0,,,11.0,,53.0,,,,,,1.5,,,27.0,,,,,,2.1,,,,54.0,,,,,,,,,,,,142.0,,32.0,,,,,,,,,,,,,,,,,NA + K IS A CALCULATED VALUE (BY THE TESTER).,"WARING, 1917",U.S. GEOLOGICAL SURVEY
249,BARANOF HOT SPRINGS,,,,69,UNITED STATES,ALASKA,,57-05.27 N,134-50.32 W,55S,066E,24,SW OF SE OF NE,,SITKA A-3 1:63360,,SOUTHEASTERN ALASKA; NE OF SITKA.,SPRING,,84,,,,,,,,,,,PPM,,51.0,,,,,,,,,,,,9.6,,,,,,,,0.37,,,0.2,,,,,2.5,,,11.0,,,,,,1.2,,,,,88.4,,,,1.2,0.06,0.14,,,51.0,,,,,,,,,,,,,70.0,,68.0,,,,,,,,,,,,,,,,,,"MILLER, 1973",U.S. GEOLOGICAL SURVEY
21496,BARANOF HOT SPRINGS - SPRING 7,,,,,UNITED STATES,ALASKA,,57-05.10 N,134-50.34 W,55S,066E,24,SW OF SE OF NE,,SITKA A-3 1:63360,,UPPERMOST SPRING.,SPRING,,7,1915/06/22,"WARING, G.A.",,,,,,,,"DOLE, R.B. AND CHAMBERS, A.A.",PPM,,50.0,,,,,,,,,,,,,,,,,268.0,,,,,,,,,,,4.6,,,9.8,,,,,,,,1.8,,,93.0,,,,58.0,,,,,1.1,,,,,,,,,,,,,96.0,,49.0,,,,,,,,,,,,,,,,,FE FROM FE2O3 + AL2O3; K IS CALCULATED.,"WARING, 1917",U.S. GEOLOGICAL SURVEY
21497,BARANOF HOT SPRINGS - SPRING 8,,,,,UNITED STATES,ALASKA,,57-05.10 N,134-50.34 W,55S,066E,24,SW OF SE OF NE,,SITKA A-3 1:63360,,,SPRING,,8,1913/08/13,"WEIGLE, W.G.",,,,,,,,"FURBER,F.B.; BUREAU OF CHEMIST",PPM,,51.7,,,,,,,,,,,,,,,,,228.0,,,,,,,,,,,2.4,,,2.8,,35.0,,,,,,0.6,,,30.0,,,,2.3,,0.2,,,55.0,,,,,,,,,,,,,71.0,,43.0,,,,,,,,,,,,,,,,,FE IS FROM FE2O3 + AL2O3.,"WARING, 1917",U.S. GEOLOGICAL SURVEY
247,BARANOF ISLAND - FISH BAY AREA,,,,68,UNITED STATES,ALASKA,,57-21.90 N,135-23.20 W,52S,064E,24,NE,,SITKA B-5 1:63360,,N-NW OF MT ROSENBERG; N-NW OF FISH BAY CREEK ALONG A SMALL TRIBUTARY; 3 MILES EAST OF THE HEAD OF FI,SPRING,,83,1915/06/26,"WARING, G.A.",,,,FRAGMENTS OF SOIL SHOW SCHIST WITH QUARTZ VEINS. THE SPRINGS ARE IN THE VICINITY OF THE EASTERN BORD,SLIGHT TASTE AND ODOR OF H2S.,,,"DINSMORE, S.C.",PPM,,47.0,,,,,,,,,,,,,,,,,393.0,,,1.6,,,10.1,,,,,13.0,,,4.5,,63.0,,,,,,0.75,,,43.0,,,,,,2.4,,,,69.0,,,,,,,,,,,,110.0,,24.0,,,,,,,,,,,,,,,,B4O7 = 34. PPM.,NA + K IS A CALCULATED VALUE (BY THE TESTER).,"WARING, 1917",U.S. GEOLOGICAL SURVEY
1943,BARNES LAKE(PARADISE) WARM SPRINGS,,,,,UNITED STATES,ALASKA,,56-40.8  N,131-52.9  W,60S,080E,09,SW SW,,"BRADFIELD CANAL C-6  1:63,360",,,SPRING,,,9/25/79,,L/MIN,,,,,,,,MG/L,,26.0,,30.0,,,,,,,,,,6.95,,,455.0,,,,,,,,0.05,,,,,8.9,,,13.0,,,,,,2.3,,,,,,,,,3.5,,0.44,,,72.0,,,,,,,,,,,,,71.0,,110.0,,,,,,,,,,,,,,,,,,"MOTYKA AND OTHERS, 1980",U.S. GEOLOGICAL SURVEY
78,BARNES LAKE(PARADISE) WARM SPRINGS,,,,,UNITED STATES,ALASKA,,56-40.8  N,131-52.9  W,60S,080E,09,SW SW,,"BRADFIELD CANAL C-6  1:63,360",,,SPRING,,,9/25/79,,L/MIN,,,,,,,,MG/L,,26.0,,30.0,,,,,,,,,,6.95,,,455.0,,,,,,,,0.05,,,,,8.9,,,13.0,,,,,,2.3,,,,,,,,,3.5,,0.44,,,72.0,,,,,,,,,,,,,71.0,,110.0,,,,,,,,,,,,,,,,,,"MOTYKA AND OTHERS, 1980",U.S. GEOLOGICAL SURVEY
21469,BATTLESHIP MTN - UNNAMED SPRING,,,,,UNITED STATES,ALASKA,,64-48.   N,162-55.   W,08S,021W,16,E1/2 OF NE OF,,SOLOMON D-2 1:63360,,"20 MILES NORTH OF GOLOVIN NEAR ""MT KACHAUIK""; EAST SIDE OF EAST FORK ""CLIFF CREEK"" ON SMALL BEDROCK",SPRING,,4,1970/00/00,,,,,"SPRING IS IN GRANODIORITE OF ""KACHAUIK PLUTON"" NEAR CONTACT WITH PRECAMBRIAN SCHISTOSE MARBLE.",H2S ODOR,,,"BARNES, R.B.",PPM,,17.0,,,,,,,,,,,,8.97,,,,,,,,,,,0.6,,,,,14.0,,,122.0,,10.0,,,,,,,,,40.0,,,,1.1,,0.2,,,111.0,,,,,,,,,,,,,,,16.0,,,,,,,,-106.0,-13.8,,,,,,,ISOTOPE DATA FROM J.R. O'NEIL.,,"MILLER AND OTHERS, 1973",U.S. GEOLOGICAL SURVEY
21470,BATTLESHIP MTN - UNNAMED SPRING,,,,,UNITED STATES,ALASKA,,64-48.   N,162-55.   W,08S,,16,E1/2 OF NE OF,,SOLOMON D-2 1:63360,02,"20 MILES NORTH OF GOLOVIN NEAR ""MT KACHAUIK""; EAST SIDE OF EAST FORK ""CLIFF CREEK"" ON SMALL BEDROCK",SPRING,,4,1975/00/00,,,,,"SPRING IS IN GRANODIORITE OF ""KACHAUIK PLUTON"" NEAR CONTACT WITH PRECAMBRIAN SCHISTOSE MARBLE.",H2S ODOR. TEMP MEASURED IN 1970.,,,"WILLEY, L.M. AND PRESSER, T.S.",PPM,,17.0,,,,,,,,,,,,9.2,,,,,,,,,,,0.66,,,,,4.8,,,120.0,,,,,,9.0,,,,,53.4,,,,1.2,0.2,0.1,,,120.0,,,,,,,,,,,,,56.0,,16.0,,,,,,,,-106.0,-13.8,,,,,,,NH3 LESS THAN ONE MG/L. ISOTOPE DATA FROM J.R. O'NEIL.,,"MILLER AND OTHERS, 1973",U.S. GEOLOGICAL SURVEY
255,BELL ISLAND HOT SPRINGS,,,,79,UNITED STATES,ALASKA,,55-55.95 N,131-34.62 W,68S,090E,31,NE OF SW OF NW,,KETCHIKAN D-5 1:63360,,50 MILES NORTH OF KETCHIKAN ON THE WESTERN END OF BELL ISLAND. SPRINGS ISSUE FROM THE NORTH EDGE OF,SPRING,,92,1915/06/06,"WARING, G.A.",,,,"WATER ISSUES FROM A NARROW FISSURE 15 FT LONG, IN BIOTITE GRANITE CUT BY SMALL PEGMATITE VEINS; SLIC",LOWEST AND HOTTEST BASIN OF 5 BASINS; SLIGHT H2S ODOR; WATER IS CONDUCTED TO A BATHHOUSE.,,,"DOLE, R.B. AND CHAMBERS, A.A.",PPM,,72.0,,,,,,,,,,,,,,,,,674.0,,,1.2,,,,,,,,4.6,,,188.0,,13.0,,,,,,,,,37.0,,,,,,1.0,,,,201.0,,,,,,,,,,,,105.0,,129.0,,,,,,,,,,,,,,,,,AL = AL + FE; NA + K IS A CALCULATED VALUE (BY THE TESTER).,"WARING, 1917",U.S. GEOLOGICAL SURVEY
45028,BERNICE LAKE POWER PLANT WELL DISCHARGE LINE,,,,,UNITED STATES,ALASKA,,60-41.53 N,151-23.17 W,07N,012W,15,SE OF SE,,"KENAI 1:250000, C-4 1:63360",,,WELL,,,1964/05/11,,L/MIN,,,,"SAMPLES MAY BE AFFECTED BY LOCAL HEAT OR HAVE STEAM ADDED. WELL WAS COLD BEFORE MARCH, 1964 ALASKAN EARTHQUAKE.",,,,MG/L,,20.5,,189.0,,53.0,,,,,,,,8.4,,,605.0,,,,,,,,,,,,,48.0,,,99.0,,12.0,,,,,,,,,127.0,,,,0.8,,12.0,,,50.0,,,,,1.8,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,"*USGS, ANCHORAGE; ORAL COM.-R.A. JOHNSON, HOMER EE",UNIVERSITY OF ALASKA
21457,BOWSER CREEK WELL,,,,,UNITED STATES,ALASKA,,59-40.58 N,153-19.62 W,06S,024W,11,NW OF SW OF NW,,ILIAMNA C-1 1:63360,,ABANDONED WELL ON BOWSER CREEK.,WELL,,,1973/06/00,U.S. BUREAU OF MINES,,,,,GAS BUBBLING UP THROUGH WATER IN SURFACE CASING.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACE OF PROPANE.,,"BLASKO, 1976",U.S. GEOLOGICAL SURVEY
45055,BP WAS ILLA ST. NO. 1 OIL WELL,,,,,UNITED STATES,ALASKA,,61-31.20 N,149-27.13 W,17N,001W,33,NE OF NE OF SE,,"ANCHORAGE 1:250000, C-7 1:63360",,,WELL,,,1963/02/22,,,,,,,,,,,,36.7,1469.0,,,1478.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALASKA DIVISION OF OIL AND GAS, UNPUBLISHED DATA",UNIVERSITY OF ALASKA
45068,BP WHITE RIVER NO. 3,,,,,UNITED STATES,ALASKA,,60-03.95 N,142-12.73 W,21S,019E,29,N1/2 OF NE OF,,"BERING GLACIER 1:250000, A-4 1:63360",,,WELL,,,1963/06/30,,,,,,,,,,,,66.7,2077.0,,,2129.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALASKA DIVISION OF OIL AND GAS, UNPUBLISHED DATA",UNIVERSITY OF ALASKA
1911,BRADFIELD HOT SPRINGS,,,,,UNITED STATES,ALASKA,,56-13.9  N,131-16.2  W,65S,091E,,,,"BRADFIELD CANAL A-4  1:63,360",,,SPRING,,,10/2/79,,L/MIN,,,,,,,,MG/L,,57.0,,14.0,,,,,,,,,,8.15,,,885.0,,,,,,,,0.1,,,,,13.0,,,30.0,,,,,,2.5,,,,,42.0,,,,5.7,,0.04,,,118.0,,,,,,,,,,,,,87.0,,235.0,,,,,,,,,,,,,,,,,,"MOTYKA AND OTHERS, 1980",U.S. GEOLOGICAL SURVEY
21504,CHENA HOT SPRINGS - SPRING A,,,,,UNITED STATES,ALASKA,,65-03.18 N,146-03.42 W,03N,008E,26,SW OF SE,,CIRCLE A-5 1:63360,,JUST NORTH OF FILE NO. 0021503.,SPRING,,,1912/00/00,"LEBLANC, P.J.B.",,,,,,,,"REED, J.B.,BUREAU OF CHEMISTRY",PPM,,51.1,,,,,,,,,,,,,,,,,634.0,,,,,,,,,,,2.9,,,38.0,,,,,,,,,,,494.0,,,,,,,,,6.0,208.0,,,,,,,,,,,,72.0,,67.0,,,,,,,,,,,,,,,,,,"WARING, 1917",U.S. GEOLOGICAL SURVEY
21503,CHENA HOT SPRINGS - BATHOUSE SPRING,,,,,UNITED STATES,ALASKA,,65-03.18 N,146-03.42 W,03N,008E,26,SW OF SE,,CIRCLE A-5 1:63360,,"62 MILES NE OF FAIRBANKS, UP THE CHENA RIVER.",SPRING,,,1915/08/05,,,,,,,,,"DOLE, R.B. AND CHAMBERS, A.A.",PPM,,65.0,,,,,,,,,,,,,,,,,388.0,,,,,,,,,,,2.3,,,26.0,,,,,,,,1.2,,,118.0,,,,,,1.2,,,,94.0,,,,,,,,,,,,77.0,,78.0,,,,,,,,,,,,,,,,,FE(TOT) IS FE2O3 + AL2O3; NA + K IS A CALCULATED VALUE (BY THE TESTER).,"WARING, 1917",U.S. GEOLOGICAL SURVEY
235,CHENA HOT SPRINGS,,,,18,UNITED STATES,ALASKA,,65-03.25 N,146-03.33 W,03N,008E,26,SW OF SE,,CIRCLE A-5 1:63360,02,"62 MILES NE OF FAIRBANKS UP THE CHENA RIVER; 12.2 MILES E-SE OF ""CHENA DOME"".",SPRING,,30,,,L/MIN,,,,,,,WILLEY AND PRESSER,MG/L,,57.0,,840.0,,,,,,,,,,9.1,,,,,,,,0.028,,,0.16,,,,,1.3,,,28.9,,8.0,,,,18.6,,,,,114.7,,,,3.3,0.3,0.13,,,110.0,,,2.86,,,,,,,,,,85.0,,68.0,,,,,,,,-119.0,-15.6,,,,,,,NH3 = 2.7 MG/L.,NH4 CALCULATED FROM NH3.,"MILLER, 1973",U.S. GEOLOGICAL SURVEY
1906,CHIEF SHAKES HOT SPRINGS,,,,,UNITED STATES,ALASKA,,56-43.0  N,132-00.3  W,59S,085E,34,SE NE,,"PETERSBURG C-1, 1:63,360",,,SPRING,,,9/18/79,,L/MIN,,,,,,,,MG/L,,45.0,,135.0,,,,,,,,,,8.05,,,415.0,,,,,,,,,,,,,14.0,,,4.6,,,,,,1.3,,,,,50.0,,,,2.9,,0.2,,,82.0,,,,,,,,,,,,,63.0,,149.0,,,,,,,,,,,,,,,,,,"MOTYKA AND OTHERS, 1980",U.S. GEOLOGICAL SURVEY
1907,CHIEF SHAKES HOT SPRINGS,,,,,UNITED STATES,ALASKA,,56-43.0  N,132-00.3  W,59S,085E,34,SE NE,,"PETERSBURG C-1, 1:63,360",,,SPRING,,,7/7/76,"SLOAN, C.F.",L/MIN,,,,,,,"USGS, DENVER LAB",MG/L,,50.5,,238.0,,,,,,,,,,7.1,,,390.0,,,,,,,,0.03,,,,,15.0,,,6.3,,,,,,,,,,,45.0,,,,3.0,,0.1,,,73.0,,,,,,,,,,,,,70.0,,140.0,,,,,,,,,,,,,,,,,,"MOTYKA AND OTHERS, 1980",U.S. GEOLOGICAL SURVEY
1908,CHIEF SHAKES HOT SPRINGS,,,,,UNITED STATES,ALASKA,,56-43.0  N,132-00.3  W,59S,085E,34,SE NE,,"PETERSBURG C-1, 1:63,360",,,SPRING,,,6/19/15,,L/MIN,,,,,,,,MG/L,,52.0,,441.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,6.5,,18.0,,,,,,,,,43.0,,,,9.3,,0.4,,,87.0,,,,,,,,,,,,,108.0,,142.0,,,,,,,,,,,,,,,,,,"WARING, 1917",U.S. GEOLOGICAL SURVEY
1905,CHIEF SHAKES HOT SPRINGS,,,,,UNITED STATES,ALASKA,,56-43.0  N,132-00.3  W,59S,085E,34,SE NE,,"PETERSBURG C-1, 1:63,360",,,SPRING,,,9/18/79,,L/MIN,,,,,,,,MG/L,,50.4,,320.0,,,,,,,,,,7.9,,,427.0,,,,,,,,,,,,,14.0,,,4.9,,,,,,1.3,,,,,49.0,,,,3.0,,0.098,,,85.0,,,,,,,,,,,,,70.0,,137.0,,,,,,,,,,,,,,,,,,"MOTYKA AND OTHERS, 1980",U.S. GEOLOGICAL SURVEY
237,CIRCLE HOT SPRINGS,,,,19,UNITED STATES,ALASKA,,65-28.98 N,144-38.17 W,08N,015E,34,NE OF NW,,CIRCLE B-2 1:63360,,SW OF CIRCLE AT THE BASE OF THE MTNS THAT FORM THE SOUTHERN BORDER OF THE WIDE FLAT VALLEY OF THE YU,SPRING,,31,,,L/MIN,,,,,,,,MG/L,,57.0,,494.0,,,,,,,,,,7.6,,,,,,,,0.012,,,1.1,,,,,20.8,,,249.0,,,,,,9.7,,,,,184.6,,,,9.8,0.34,0.3,,,230.0,,,0.11,,,,,,,,,,95.0,,96.0,,,,,,,,,,,,,,,,NH3 = 0.1 MG/L.,NH4 CALCULATED FROM NH3.,"MILLER, 1973",U.S. GEOLOGICAL SURVEY
21445,CIRCLE HOT SPRINGS - NORTHERNMOST SPRING,,,,,UNITED STATES,ALASKA,,65-28.98 N,144-38.22 W,08N,015E,34,NE OF NW,,CIRCLE B-2 1:63360,,SW OF CIRCLE AT THE BASE OF THE MTNS THAT FORM THE SOUTHERN BORDER OF THE FLAT VALLEY OF THE YUKON R,SPRING,,1,1915/07/12,"WARING, G.A.",,THIN COATS OF LIME CARBONATE FOUND ON PEBBLES ALON,,,CO2 GIVEN OFF. WATER RAPIDLY CORRODES IRON VESSELS.,,,"DINSMORE, S.C.",PPM,,,,,,,,,,,,,,,,,,,816.0,,,3.7,,,,,,,,29.0,,,252.0,,,,,,,,1.3,,,173.0,,,,8.6,,2.1,,,248.0,,,,,,,,,,,,,82.0,,98.0,,,,,,,,,,,,,,,,,,"WARING, 1917",U.S. GEOLOGICAL SURVEY
