discovery_id,lat,lon,area_km2,p_mean,p_std,n_cells,province,plausibility,matched,nearest_max_id,dist_to_max_km,T_res_source,mwe_p10,mwe_p50,mwe_p90,mwe_mean,T_res_central,T_res_mean_draws,thickness_mean_m,RF_mean,eta_mean
26,38.34219744444445,-122.37323866666668,144.0,0.9994990229606628,0.0003191727155353,9,Other,plausible,True,36,20.4,geothermometer,54.21689266048275,140.09640202212356,372.46659329738543,188.33082175566565,197.8701001405716,198.26504561094774,291.86143850881905,0.1321555780002928,0.10271351302598858
96,43.56198260000001,-121.688401,80.0,0.9995468258857728,0.0001930020225699,5,Cascades,plausible,True,88,23.1,geothermometer,45.05541089765033,121.89514719862697,322.4824198706538,161.59993299858394,221.46535396575928,221.39048545537972,283.953352223792,0.1519831035944424,0.11900965562190487
17,37.683435,-115.187165,80.0,0.999445915222168,0.0003488888032734,5,Basin_and_Range,plausible,True,30,23.6,geothermometer,42.05251493129638,112.90174660108198,308.7392229451989,149.347304972881,216.17050647735596,216.60324370926583,288.2913480395516,0.14798672385803932,0.11575890520263388
41,39.93691242857143,-119.91399814285715,112.0,0.9995349645614624,0.0002617852878756,7,Other,plausible,True,59,10.6,geothermometer,33.964839714183086,90.33453211054308,237.84675890717804,119.55413574639097,188.93485307693481,189.9282859434031,289.21654660222043,0.12728444962092175,0.09644996743259465
32,38.85124016666667,-116.75227866666668,96.0,0.9994781017303468,0.0002515015366952,6,Basin_and_Range,plausible,True,43,23.7,geothermometer,34.18341055663792,86.57477067891543,229.8502282938751,117.21743876803797,194.96258199214935,194.71017750668227,294.1708736026903,0.13116326084504282,0.10008721016011632
35,39.036889333333335,-117.666952,48.0,0.9996561408042908,0.0001506237749708,3,Basin_and_Range,plausible,True,50,6.0,geothermometer,21.138344015202428,55.95062469996853,156.07399013454304,76.28644936810062,208.15333783626556,207.05063877881216,292.20979911197094,0.1394143349922312,0.10909235193341897
16,37.57563825,-118.245465,64.0,0.9994896650314332,0.0003337085072416,4,Other,plausible,True,28,11.4,geothermometer,20.725635697509368,55.313770803450396,144.2196377417595,74.60803898713938,193.28665494918823,193.74633467116385,286.3332435908592,0.13011182279784594,0.09930838605215526
93,43.12121266666667,-121.935445,48.0,0.999559223651886,0.0002199390437453,3,Cascades,plausible,True,86,7.6,geothermometer,19.75382192881782,51.03543362293931,136.27738026630658,68.12531494657411,202.0095807313919,201.9531209997295,289.8485303513323,0.13743246228292294,0.10542622879407486
87,42.67804575,-120.9894965,64.0,0.9994438886642456,0.0002937206299975,4,Cascades,plausible,True,84,13.6,geothermometer,16.900324140467387,47.446278258216594,117.78352271055243,61.56599508905527,185.37789583206177,185.41156447260514,289.3837707669985,0.12497855367283092,0.0929163174554358
34,38.953048333333335,-118.917792,48.0,0.9994294047355652,0.0002981226716656,3,Other,plausible,True,48,6.8,geothermometer,18.09262895512091,46.899728549899805,121.4648059929973,61.17244848835866,198.61237347126007,198.72787766676066,285.23129232931916,0.1333000648631962,0.1030567164392313
80,42.43849566666666,-120.18426666666666,48.0,0.9995400309562684,0.0001678105472819,3,Cascades,plausible,True,83,9.2,geothermometer,17.611851798522665,45.38256097660876,121.55201913433778,60.08204951674721,197.71344602108002,196.8478548657605,289.5761363572012,0.13131424124722765,0.10167166000819797
84,42.58821425,-121.82208649999998,64.0,0.9995429515838624,0.0002347896370338,4,Cascades,plausible,True,82,5.1,heat_flow_proxy,14.148571895434984,40.50274608586812,104.43191408978548,52.16482289770326,178.30185890197754,178.01701840327948,288.5501917285387,0.12201707329489565,0.08707920830615637
102,43.99556833333333,-114.30532333333332,48.0,0.9995644688606262,0.0002063970750896,3,Snake_River_Plain,plausible,True,89,22.6,geothermometer,13.477620763247653,37.81957555214579,97.33480838419537,49.7545042145342,188.60992074012756,188.32655893248725,289.0663299337957,0.12690627647729075,0.09521289284164527
15,37.66383618181819,-117.12610795454545,352.0,0.9994828701019288,0.0003066243370994,22,Basin_and_Range,plausible,True,29,15.6,heat_flow_proxy,0.0,11.968184419172136,63.1286362860576,26.30447026626731,113.60290050506592,113.34010716040697,294.9486052832629,0.08459860603367313,0.027608810571456147
7,34.928614333333336,-116.41611333333331,48.0,0.9994628429412842,0.0002174519031541,3,Basin_and_Range,plausible,True,13,22.5,heat_flow_proxy,0.571956294204055,5.117461432248417,22.972280991374863,9.259791743551643,131.5701961517334,131.61302013981336,289.84202660991764,0.09139401121102596,0.04540986126097417
8,35.141215249999995,-116.9086325,64.0,0.9994463324546814,0.0002321945503354,4,Basin_and_Range,plausible,True,14,22.4,heat_flow_proxy,0.0,0.01204705066996221,3.4305272414930865,1.194395352564593,91.73014491796494,91.9668473361488,298.6487980312507,0.08426809643959754,0.010286024673164135
24,38.39489830000001,-117.5934662,160.0,0.9995384216308594,0.0002657819422893,10,Basin_and_Range,plausible,True,37,6.4,heat_flow_proxy,0.0,0.0,0.6857085755330433,0.5011786890740652,71.77367925643921,72.99922218206798,293.63595402378485,0.08316409514021138,0.002430393723730131
6,34.02551040000001,-117.785785,80.0,0.9994899034500122,0.0002513992949388,5,Basin_and_Range,plausible,True,9,22.3,heat_flow_proxy,0.0,0.0,0.08256398108801666,0.1508168663113424,68.8983342051506,70.92054989013162,296.51442208337,0.08323789379469283,0.0016629428930309276
