discovery_id,lat,lon,province,structural_setting,system_type,T_res_central,area_km2,n_cells,p_mean,p_std,dist_to_max_km,dist_to_nearest_qfault_km,dist_to_nearest_volc_km,mwe_p10,mwe_p50,mwe_p90
16,37.57563825,-118.245465,Other,Walker Lane,binary-cycle grade (180-200 deg C),193.28665494918823,64.0,4,0.9994896650314332,0.0003337085072416,11.4,8.938524002750396,55.53252042378458,20.725635697509368,55.3137708034504,144.2196377417595
93,43.12121266666667,-121.935445,Cascades,Cascades arc,flash-plant grade (>=200 deg C),202.0095807313919,48.0,3,0.999559223651886,0.0002199390437453,7.6,11.389657659109695,24.45828705787087,19.75382192881782,51.03543362293931,136.27738026630658
87,42.67804575,-120.9894965,Cascades,Cascades arc,binary-cycle grade (180-200 deg C),185.37789583206177,64.0,4,0.9994438886642456,0.0002937206299975,13.6,20.11669562484696,98.4261527821156,16.900324140467387,47.446278258216594,117.78352271055245
34,38.953048333333335,-118.917792,Other,Walker Lane,binary-cycle grade (180-200 deg C),198.61237347126007,48.0,3,0.9994294047355652,0.0002981226716656,6.8,0.7571808376376835,119.65036516840901,18.09262895512091,46.899728549899805,121.4648059929973
80,42.43849566666666,-120.18426666666666,Cascades,other,binary-cycle grade (180-200 deg C),197.71344602108,48.0,3,0.9995400309562684,0.0001678105472819,9.2,5.504122234422035,165.20305148300935,17.611851798522665,45.38256097660876,121.55201913433778
84,42.58821425,-121.82208649999998,Cascades,Cascades arc,binary low-T (130-180 deg C),178.30185890197754,64.0,4,0.9995429515838624,0.0002347896370338,5.1,9.771233102186077,46.39416738816817,14.148571895434984,40.50274608586812,104.43191408978548
102,43.99556833333333,-114.30532333333332,Snake_River_Plain,Snake River Plain hot-spot,binary-cycle grade (180-200 deg C),188.6099207401276,48.0,3,0.9995644688606262,0.0002063970750896,22.6,27.975744842018393,92.27840204190294,13.477620763247652,37.81957555214579,97.33480838419536
15,37.66383618181819,-117.12610795454545,Basin_and_Range,Walker Lane,district heating (90-130 deg C),113.60290050506592,352.0,22,0.9994828701019288,0.0003066243370994,15.6,0.42249186861436855,147.66869158894588,0.0,11.968184419172136,63.1286362860576
7,34.928614333333336,-116.41611333333331,Basin_and_Range,Eastern California shear,binary low-T (130-180 deg C),131.5701961517334,48.0,3,0.9994628429412842,0.0002174519031541,22.5,3.7387953240482004,170.41558208450746,0.571956294204055,5.117461432248417,22.972280991374863
8,35.141215249999995,-116.9086325,Basin_and_Range,Eastern California shear,district heating (90-130 deg C),91.73014491796494,64.0,4,0.9994463324546814,0.0002321945503354,22.4,6.859915873118415,125.76957503814819,0.0,0.0120470506699622,3.4305272414930865
24,38.39489830000001,-117.5934662,Basin_and_Range,Walker Lane,direct-use (<90 deg C),71.77367925643921,160.0,10,0.9995384216308594,0.0002657819422893,6.4,17.443763155855386,131.1021659227209,0.0,0.0,0.6857085755330433
6,34.02551040000001,-117.785785,Basin_and_Range,Eastern California shear,direct-use (<90 deg C),68.8983342051506,80.0,5,0.9994899034500122,0.0002513992949388,22.3,5.204598352550761,206.24766896085154,0.0,0.0,0.0825639810880166
