discovery_id,lat,lon,area_km2,p_mean,p_std,n_cells,province,plausibility
4,33.287699333333336,-107.64460133333334,48.0,0.9966372847557068,0.0012643936788663268,3,Rocky_Mountain,implausible
32,37.853297636363635,-114.1134329090909,176.0,0.9966366291046143,0.0018780436366796494,11,Basin_and_Range,plausible
54,39.09677533333333,-116.60374066666667,48.0,0.9966303706169128,0.0012727371649816632,3,Basin_and_Range,plausible
37,38.33770558333334,-117.60245629166667,384.0,0.9966298937797546,0.0017173014348372817,24,Basin_and_Range,plausible
76,41.510240249999995,-121.2005765,64.0,0.9966176152229309,0.0017831227742135525,4,Cascades,plausible
12,34.763923500000004,-118.51517875,64.0,0.9966128468513489,0.0010715699754655361,4,Other,implausible
38,38.102647,-112.81994999999999,48.0,0.9966108202934265,0.0012735588243231177,3,Rocky_Mountain,plausible
8,34.05425666666667,-115.64997666666666,48.0,0.996610164642334,0.001073068822734058,3,Basin_and_Range,plausible
81,42.408551749999994,-118.1282025,64.0,0.996608555316925,0.0014105673180893064,4,Other,plausible
13,34.920005312499995,-116.68289499999999,512.0,0.9966055154800415,0.0015149908140301704,32,Basin_and_Range,plausible
41,38.17750775,-114.481224,64.0,0.9966050386428833,0.0017300659092143178,4,Basin_and_Range,plausible
91,44.986704,-121.55237600000001,64.0,0.9966034293174744,0.001352973049506545,4,Cascades,plausible
92,47.7624865,-121.65791375,64.0,0.9965963959693909,0.0011264795903116465,4,Cascades,plausible
31,37.6205535,-106.43676,64.0,0.996595025062561,0.0010753567330539227,4,Rocky_Mountain,implausible
21,35.940712,-118.309965,128.0,0.996589183807373,0.00150581868365407,8,Other,implausible
56,39.408192,-115.93141333333334,48.0,0.9965793490409851,0.0012911843368783593,3,Basin_and_Range,plausible
83,42.480417499999994,-120.27808166666667,96.0,0.9965789318084717,0.0014679360901936889,6,Cascades,plausible
87,43.450593,-121.270936,96.0,0.9965764880180359,0.0011571815703064203,6,Cascades,plausible
25,36.56953033333333,-105.42436166666666,48.0,0.9965744018554688,0.0014701280742883682,3,Rocky_Mountain,implausible
52,39.05785025,-106.22568150000001,64.0,0.9965628981590271,0.0013316026888787746,4,Rocky_Mountain,plausible
60,39.87930633333334,-118.4904221111111,144.0,0.9965617656707764,0.0017078423406928778,9,Other,plausible
15,35.50353266666667,-116.65064733333334,48.0,0.9965593814849854,0.0016144256806001067,3,Basin_and_Range,plausible
22,36.21020366666667,-118.01093133333335,48.0,0.996537983417511,0.0012802440905943513,3,Other,implausible
27,37.28817733333333,-116.83827333333333,48.0,0.9965364336967468,0.001352788764052093,3,Basin_and_Range,plausible
82,42.547791125,-121.79276837500001,128.0,0.9965134859085083,0.0015705162659287453,8,Cascades,plausible
64,40.35441433333333,-112.31961666666666,48.0,0.9964728355407715,0.0012259494978934526,3,Rocky_Mountain,implausible
72,41.24673666666667,-117.86239749999999,96.0,0.9964707493782043,0.001778912148438394,6,Basin_and_Range,plausible
74,41.26470066666667,-116.43175033333334,48.0,0.996461808681488,0.002341038780286908,3,Basin_and_Range,plausible
84,42.561265999999996,-120.94258799999999,64.0,0.9964596629142761,0.0018974582199007273,4,Cascades,plausible
90,44.822015,-110.13064666666666,48.0,0.9964587092399597,0.0014532137429341674,3,Snake_River_Plain,plausible
35,37.91100766666667,-107.31625666666666,48.0,0.9964407086372375,0.0016274935333058238,3,Rocky_Mountain,implausible
19,35.647263333333335,-120.19990333333334,48.0,0.9963801503181458,0.0016675578663125634,3,Other,implausible
14,35.29991633333333,-116.74446,48.0,0.9963740706443787,0.002239299239590764,3,Basin_and_Range,plausible
78,41.815666666666665,-121.37256666666667,48.0,0.9963455200195312,0.0018190896371379495,3,Cascades,plausible
10,34.07821266666667,-107.19117333333334,48.0,0.9963300824165344,0.0010818012524396181,3,Rocky_Mountain,implausible
3,33.060128,-116.24412466666666,48.0,0.9963005185127258,0.001181477215141058,3,Basin_and_Range,plausible
