id,gid,latitude,longitude,area_or_ams_map,hole_name,twn_rng_sec,county,state,tect_prov,location_notes,meas_date,drill_date,collar_elevation,drill_depth,water_table,water_symbold,surf_temp,min_temp,max_temp,bot_temp,lit_info,comment_info,interval_id,depth,bottom,avg_tcu,avg_tcu_sym,avg_tcu_std_err,bulk_tcu,bulk_tcu_repeats,porosity,geoth_grad,geoth_grad_sym,geoth_grad_std_err,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,heat_flow,heat_flow_sym,heat_flow_std_err,cheat_flow,cheat_flow_sym,cheat_flow_std_err,heat_production,heat_production_sym,heat_production_std_err,num_hg,aquifier_temp,aquifier_temp_sym,aquifier_temp_std_err,quality_code,pub_ref,new_pub_ref,info,smu_id,link,copyrighted,second_link
751b2b1c-d69d-3766-a991-3a4f77245c7e,NV-02885,40.7054804,-119.3260098,Black Rock Desert,BRD1,33N/23E-25,"",NV,BASIN AND RANGE,"",,1975-01-06,,91.4,,"",,,,,"",REF (Lovelock map),a,,91,1.4,SMU-2,,,,,18.2,"",,,"",,25.48,"",,,"",,,"",,,,"",,B,"",Phillips98L,"Phillips Petroleum Company, 1998 data release of: Temperature-gradient drill holes, Lovelock AMS Sheet, 1977.",SMU 100694,"",No,Lovelock AMS NV Phillips Heat Flow Map 1983.FN.pdf
62ccdde5-7bad-3bd2-9d0e-539cb22ba9a8,NV-02888,39.8956979,-118.6057778,CARSON SINK,CS-4,23N/30E-3,"",NV,BASIN AND RANGE,"",1975-01-07,,,91.5,,"",,,20.15,20.15,"",REF PHILLIPSDATA(M62-C),a,15.2,91.5,0.84,"",,,,,45.2,"",,,"",,38,"",,,"",,,"",,,,"",,B,"",Phillips-CalEnergyCS,"Phillips - CalEnergy, 1998 Geothermal data release of well information from Carson Sink 1975. (M62c)",SMU 1482,"",No,""
4c79a20f-e129-3099-b457-971a921af30b,NV-02889,39.9017000,-118.3417705,CARSON SINK,CS-7,24N/32E-35,"",NV,BASIN AND RANGE,"",1975-01-15,,,51.8,,"",,,23.75,23.75,"",REF PHILLIPSDATA(M62-C),a,12.2,51.8,1.17,"",,,,,9.3,"",,,"",,11,"",,,"",,,"",,,,"",,B,"",Phillips-CalEnergyCS,"Phillips - CalEnergy, 1998 Geothermal data release of well information from Carson Sink 1975. (M62c)",SMU 1482,"",No,""
524bcc33-5872-3049-9afc-539791c3f549,NV-02899,40.1582277,-118.5693139,Southern Pacific Company,SP-56,"","",NV,BASIN AND RANGE,"",,,1256.1,91.46,,"",,,17.4,17.4,"",Pershing County http://pubs.usgs.gov/of/1999/of99-425/webmaps/home.html,a,,91.46,1.4,SMU-2,,,,,21.84,"",,,"",,30.576,"",,,"",,,"",,,,"",,B,USGS-Sass99,USGS-Sass99,"USGS-SASS99, USGS Open-file Report 99-425 online version 1.0, Geothermal Industry Temperature Profiles from the Great Basin, by John H. Sass, Susan S. Priest, Arnold J. Blanton, Penelope C. Sackett, Stephanie L. Welch and Mark A. Walters.",SMU 100763,http://pubs.usgs.gov/of/1999/of99-425/webmaps/home.html,No,""
821dccac-565e-3218-aec0-d2d3a30f1ea8,NV-04837,40.0934024,-117.7152556,Dixie Valley,40,26N/39E-28,"",NV,BASIN AND RANGE,"",1974-01-05,,,,,"",,,,,"","",a,0,152.3,,"",,,,,,"",,,"",,,"",,,"",,,"",,,,"",,B,"",Garside97NevadaCD,"Garside, L.J., Nevada geothermal gradient-hole database, Nevada Bureau of Mines and Geology, CD-ROM prepared under INEL Contract NO. C85-110656-005, 1997.",SMU 100638,https://wolfweb.unr.edu/homepage/lgarside/Geothermal/Gradient/Final_Rpt.doc,No,https://wolfweb.unr.edu/homepage/lgarside/Geothermal/Gradient/GRADIENT.DBF
b744bc03-a7f3-381b-811c-af5726133034,NV-02901,40.0848909,-119.0993276,Granite Springs,T70,"","",NV,BASIN AND RANGE,"",,,1707.32,76.22,,"",,,20.2,11.8,"",REF (Lovelock Map)(USGS-SASS99),a,,76.22,1.9,SMU-1,,,,,18.2,"",,,"",,34.58,"",,,"",,,"",,,,"",,B,"",Phillips98L,"Phillips Petroleum Company, 1998 data release of: Temperature-gradient drill holes, Lovelock AMS Sheet, 1977.",SMU 100694,"",No,Lovelock AMS NV Phillips Heat Flow Map 1983.FN.pdf
9958137e-ab2e-3281-9b6e-1a0306469277,NV-02902,40.0115588,-119.0876595,Trinity Mountains,TM-73,"","",NV,BASIN AND RANGE,"",,,1652.44,91.46,,"",,,15.8,15.8,"",REF (Lovelock Map)(USGS-SASS99),a,,91.46,1.9,SMU-1,,,,,20.02,"",,,"",,38.038,"",,,"",,,"",,,,"",,B,"",Phillips98L,"Phillips Petroleum Company, 1998 data release of: Temperature-gradient drill holes, Lovelock AMS Sheet, 1977.",SMU 100694,"",No,Lovelock AMS NV Phillips Heat Flow Map 1983.FN.pdf
e7373d8c-547d-3528-a5ea-9ba675958242,NV-02903,40.8331940,-117.5342610,WINNEMUCCA AMS,ADELAIDE,"","",NV,BASIN AND RANGE,"",1969-01-07,,1780,305,,"",,,,,META-SEDS.-,UND Data Record: US1629. THE RESULTS ARE THE MEAN OF THE TWO DEPTH RANGES,a,38,305,3.14,AUTH,,,18,,47,*,,46,"",,145,*,,141,*,,2.59,"",,,,"",,C,Sass715,Sass715,"Sass, J.H., A.H. Lachenbruch, R.J. Munroe, G.W. Greene, and H. Moses, Jr., Heat flow in the western United States, J. Geophys. Res., 76, 6376-6413, 1971. doi 10.1029/JB076i026p06376",SMU 100726,http://www.agu.org/pubs/crossref/1971/JB076i026p06376.shtml,Yes,""
b999825e-d9b6-355a-bc81-ba805c6f2b2f,NV-02906,40.8781800,-119.1043062,LOVELOCK AMS,BR-10,"","",NV,BASIN AND RANGE,"",1979-01-17,1979-01-01,1185,100,,"",,,,,CLAY-,UND Data Record: US1621. THE CONDUCTIVITY IS ESTIMATED FROM IN SITU MEASUREMENTS|| 2020 change = dates added,a,58,94,1.05,AUTH,0.05,,,,67.1,"",0.4,67.1,"",,70,"",4,70,"",,,"",,,,"",,C,"",Mase802,"Mase, C. W., and J. H. Sass, Heat flow from the western arm of the Black Rock Desert, Nevada, U. S. Geol. Surv. Open-File Rep., 80-1238, 38 pp., 1980.",SMU 1476,http://pubs.usgs.gov/of/1980/1238/report.pdf,No,GRC 18841
d0fd0571-0264-3305-a85d-e9f7e00e594d,NV-02910,36.8516683,-116.4408791,DEATH VALLEY AMS,UE25A-1,"","",NV,BASIN AND RANGE,"",1979-01-01,1978-01-01,1199,,,"",,,,,TUFF-,UND Record US1743. Site IS IN THE NEVADA TEST AREA THE CONDUCTIVITY AND HEAT FLOW ARE ESTIMATED|| 2020 change = dates added,a,0,470,1.51,AUTH,,,,,36,"",,27.4,"",,71,"",,54,"",,,"",,,,"",,C,"",Sass803,"Sass, J.H., A.H. Lachenbruch, and C.W. Mase, Analysis of thermal data from drill holes UE25a-3 and UE25a-1, Calico Hills and Yucca Mountain, Nevada test site, U. S. Geol. Surv. Open-File Rep., 80-826, 25 pp., 1980.",SMU 0617,http://pubs.usgs.gov/of/1980/0826/report.pdf,No,""
